timestamp,symbol,signal_type,direction,entry_price,exit_price,quantity,stop_loss,target,confidence,reasoning,pnl,mode,market_regime,sector_regime
2026-05-19 10:01:21,SAMMAANCAP,ENTRY-SHORT,SELL,138.65,,10,140.73,134.49,70,"RSI below 40, price below VWAP and SMAs, bearish market and sector trends, volume spike suggests selling pressure.",,LIVE,BEARISH,BEARISH
2026-05-19 10:02:07,RVNL,ENTRY-SHORT,SELL,273.80,,5,277.91,265.59,70,"Price below VWAP and SMAs, RSI bearish (38), MACD negative, volume below average, Nifty bearish trend. Short opportunity with tight stop.",,LIVE,BEARISH,
2026-05-19 10:03:04,AUROPHARMA,ENTRY-LONG,BUY,1517.80,1518.7,1,1494.90,1540.20,70,"Stock above VWAP and SMA/EMA, RSI neutral, MACD bullish, volume spike indicates strong buying interest. Sector bullish offsets Nifty bearishness.",,LIVE,BEARISH,BULLISH
2026-05-19 10:03:25,POLICYBZR,ENTRY-SHORT,SELL,1806.00,,1,1833.09,1751.82,70,"RSI overbought at 80.72, price near resistance, Nifty and sector bearish, volume spike low suggesting weak momentum.",,LIVE,BEARISH,BEARISH
2026-05-19 10:03:40,TATATECH,ENTRY-SHORT,SELL,650.10,655.3,2,660.05,630.79,70,"RSI overbought (79.22), bearish market and sector trends, price near resistance (R1=652.8), low volume spike suggests weak buying momentum.",,LIVE,BEARISH,BEARISH
2026-05-19 10:04:05,RVNL,ENTRY-SHORT,SELL,273.75,274.6,5,277.86,265.54,72,"RSI below 40, price below VWAP and SMA20, bearish MACD crossover, and Nifty trend bearish. Volume spike low but consistent with selling pressure.",,LIVE,BEARISH,
2026-05-19 10:06:00,MCX,ENTRY-SHORT,SELL,3445.00,,0,3496.67,3341.65,70,"RSI overbought at 80.68, price near resistance 3447.4, Nifty and sector bearish, volume spike suggests exhaustion. Short opportunity with tight stop.",,LIVE,BEARISH,BEARISH
2026-05-19 10:06:05,TATATECH,ENTRY-SHORT,SELL,649.30,,2,659.04,629.82,70,RSI overbought (75.05) with bearish market and sector trends; price near resistance (R1 652.8) with low volume spike suggesting weak buying momentum.,,LIVE,BEARISH,BEARISH
2026-05-19 10:06:31,RVNL,ENTRY-SHORT,SELL,273.75,,5,277.86,265.54,70,"RSI below 40, price below VWAP and SMAs, bearish MACD crossover, low volume spike suggests weak buying. Nifty bearish adds caution, but stock is weak.",,LIVE,BEARISH,
2026-05-19 10:20:02,COLPAL,ENTRY-SHORT,SELL,2186.50,,0,2219.30,2120.90,70,"RSI overbought at 74, price near resistance, bearish Nifty trend, volume spike suggests exhaustion. Short with tight stop.",,LIVE,BEARISH,NEUTRAL
2026-05-19 10:35:38,AUROPHARMA,ENTRY-SHORT,SELL,1528.50,,1,1551.43,1482.64,70,"RSI overbought at 75.22, price near resistance 1530, Nifty bearish, sector bullish but stock may face resistance. Volume spike moderate, ATR low suggests limited volatility.",,LIVE,BEARISH,BULLISH
2026-05-19 10:35:57,POLICYBZR,ENTRY-SHORT,SELL,1815.00,,1,1833.15,1778.70,70,"RSI overbought at 73.81, price near resistance 1818.7, bearish market and sector trends, volume spike moderate. Short opportunity with tight stop.",,LIVE,BEARISH,BEARISH
2026-05-19 10:36:27,COLPAL,ENTRY-SHORT,SELL,2199.00,,0,2231.98,2133.03,75,"RSI overbought at 82.93, price near resistance, bearish Nifty trend, volume spike suggests exhaustion.",,LIVE,BEARISH,NEUTRAL
2026-05-19 10:36:30,NESTLEIND,ENTRY-SHORT,SELL,1450.00,,1,1471.75,1406.50,70,"RSI overbought (75.4) with bearish Nifty trend and low volume spike, suggesting potential reversal. Price near resistance R1 (1451.8).",,LIVE,BEARISH,NEUTRAL
2026-05-19 10:44:00,COLPAL,ENTRY-SHORT,SELL,2205.00,,1,2212.72,2182.95,75,RSI at 82.72 indicates overbought; price near resistance 2210; volume spike low; Nifty bearish; FMCG neutral. Short opportunity with tight stop.,,LIVE,BEARISH,NIFTY FMCG=NEUTRAL
2026-05-19 12:02:15,TORNTPOWER,ENTRY-SHORT,SELL,1490.00,1497.6,1,1512.35,1445.30,75,"3-min and 15-min bearish (price below SMA), 1-hour not bullish (bearish sector and Nifty). RSI oversold but momentum negative, volume low. Short with caution.",,LIVE,BEARISH,NIFTY ENERGY=BEARISH,BEARISH,NEUTRAL,
2026-05-19 12:04:10,UPL,ENTRY-SHORT,SELL,635.30,,2,644.83,616.24,75,"RSI oversold but 3-min and 15-min bearish, 1-hour bias likely bearish given Nifty and sector downtrend. Volume spike low but consistent with selling. Price below VWAP and SMA. Short entry with tight stop.",,LIVE,BEARISH,NIFTY OIL & GAS=BEARISH,BEARISH,NEUTRAL,
2026-05-19 12:07:27,UPL,ENTRY-SHORT,SELL,635.40,636.40,2,644.93,616.34,75,"3-min RSI oversold but price below SMA, 15-min bearish, 1-hour likely bearish given Nifty and sector downtrend. Volume spike low but consistent with bearish momentum. Short entry with tight stop.",,LIVE,BEARISH,NIFTY OIL & GAS=BEARISH,BEARISH,NEUTRAL,
2026-05-19 17:13:54,TATATECH,ENTRY-LONG,BUY,669.50,,2,659.46,689.59,78,"Price is above VWAP with positive distance, RSI is neutral at 58.68, and ADX is strong at 35.47 indicating a trending market. The last candle is bullish and price is near support, suggesting a potential bounce. However, volume ratio is slightly below 1.2 and Nifty trend is bearish, reducing confidence.",,DRY-RUN,,,,,
